species_code,within,inter,order,family,scientific_name,common_name,primary,secondary
bknsti,0,1,NA,NA,Himantopus mexicanus,Black-necked Stilt,NA,NA
blcspa1,0,1,NA,NA,Peucaea humeralis,Black-chested Sparrow,NA,NA
blkoys,0,1,NA,NA,Haematopus bachmani,Black Oystercatcher,NA,NA
bltjay1,0,1,NA,NA,Cyanolyca pumilo,Black-throated Jay,NA,NA
blusee1,0,1,NA,NA,Amaurospiza concolor,Blue Seedeater,NA,NA
brnowl,0,1,NA,NA,Tyto furcata,American Barn Owl,NA,NA
btmjay,0,1,NA,NA,Cyanocorax colliei,Black-throated Magpie-Jay,NA,NA
btstan1,0,1,NA,NA,Lanio aurantius,Black-throated Shrike-Tanager,NA,NA
bugtan,0,1,NA,NA,Thraupis episcopus,Blue-gray Tanager,NA,NA
butfog9,0,1,NA,NA,Automolus cervinigularis,Fawn-throated Foliage-gleaner,NA,NA
categr1,0,1,NA,NA,Ardea ibis,Western Cattle-Egret,NA,NA
citspa1,0,1,NA,NA,Peucaea sumichrasti,Cinnamon-tailed Sparrow,NA,NA
corshe,0,1,NA,NA,Calonectris borealis/diomedea,Cory's/Scopoli's Shearwater,NA,NA
cozeme1,0,1,NA,NA,Cynanthus forficatus,Cozumel Emerald,NA,NA
gartro1,0,1,NA,NA,Trogon caligatus,Gartered Trogon,NA,NA
golvir1,0,1,NA,NA,Vireo hypochryseus,Golden Vireo,NA,NA
grcbec1,0,1,NA,NA,Pachyramphus major,Gray-collared Becard,NA,NA
grnher,0,1,NA,NA,Butorides virescens,Green Heron,NA,NA
hoogro1,0,1,NA,NA,Coccothraustes abeillei,Hooded Grosbeak,NA,NA
issjay,0,1,NA,NA,Aphelocoma insularis,Island Scrub-Jay,NA,NA
lilmea2,0,1,NA,NA,Sturnella lilianae,Chihuahuan Meadowlark,NA,NA
mewgul2,0,1,NA,NA,Larus brachyrhynchus,Short-billed Gull,NA,NA
mexduc,0,1,NA,NA,Anas diazi,Mexican Duck,NA,NA
mexher1,0,1,NA,NA,Phaethornis mexicanus,Mexican Hermit,NA,NA
navwre1,1,1,NA,NA,Hylorchilus navai,Nava's Wren,NA,NA
neocor,0,1,NA,NA,Nannopterum brasilianum,Neotropic Cormorant,NA,NA
norgos,0,1,NA,NA,Astur atricapillus,American Goshawk,NA,NA
oaxspa1,1,1,NA,NA,Aimophila notosticta,Oaxaca Sparrow,NA,NA
ocequa1,0,1,NA,NA,Cyrtonyx ocellatus,Ocellated Quail,NA,NA
pacpar1,0,1,NA,NA,Psittacara strenuus,Pacific Parakeet,NA,NA
purswa3,0,1,NA,NA,Porphyrio poliocephalus,Gray-headed Swamphen,NA,NA
redcro9,1,1,NA,NA,Loxia sinesciuris,Cassia Crossbill,NA,NA
rottan1,0,1,NA,NA,Piranga roseogularis,Rose-throated Tanager,NA,NA
rtatan1,0,1,NA,NA,Driophlox fuscicauda,Red-throated Ant-Tanager,NA,NA
rubcha1,0,1,NA,NA,Ortalis wagleri,Rufous-bellied Chachalaca,NA,NA
rucwar4,0,1,NA,NA,Basileuterus delattrii,Chestnut-capped Warbler,NA,NA
scbhum1,0,1,NA,NA,Phaeochroa cuvierii,Scaly-breasted Hummingbird,NA,NA
screup3,0,1,NA,NA,Euphonia godmani,West Mexican Euphonia,NA,NA
sinqua1,0,1,NA,NA,Dactylortyx thoracicus,Singing Quail,NA,NA
sleshe1,0,1,NA,NA,Doricha enicura,Slender Sheartail,NA,NA
spemou1,0,1,NA,NA,Laniocera rufescens,Speckled Mourner,NA,NA
trogna2,0,1,NA,NA,Polioptila bilineata,White-browed Gnatcatcher,NA,NA
whlgna3,0,1,NA,NA,Polioptila albiventris,Yucatan Gnatcatcher,NA,NA
whswoo1,0,1,NA,NA,Lepidocolaptes leucogaster,White-striped Woodcreeper,NA,NA
withum1,0,1,NA,NA,Selasphorus ellioti,Wine-throated Hummingbird,NA,NA
wooscj2,1,1,NA,NA,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,NA,NA
wtmjay1,0,1,NA,NA,Cyanocorax formosus,White-throated Magpie-Jay,NA,NA
y01288,0,1,NA,NA,Carduelis carduelis/caniceps,European/Gray-crowned Goldfinch,NA,NA
y01309,0,1,NA,NA,Troglodytes aedon/musculus,Northern/Southern House Wren,NA,NA
y01312,0,1,NA,NA,Sula leucogaster/brewsteri,Brown/Cocos Booby,NA,NA
yucfly1,0,1,NA,NA,Myiarchus yucatanensis,Yucatan Flycatcher,NA,NA
